beta,time,cost
0.000000,63,2141832684605.005859
0.000000,64,2199692238253.267578
0.000000,64,2161351156045.507324
0.000000,64,2075260817306.860107
0.000000,65,2080539583075.366699
0.000000,65,2088652736892.583496
0.000000,65,1992361001644.842041
0.000000,65,2122037796387.202393
0.000000,62,2098709067778.835449
0.000000,63,2166835015166.513428
0.000000,64,2171686369527.433105
0.000000,64,2064546509855.402832
0.000000,66,2041564149172.292236
0.000000,66,2059017991694.897949
0.000000,62,2163217444775.471924
0.000000,64,2038732546699.167725
0.000000,64,2099026704417.089355
0.000000,65,2134175144075.840088
0.000000,65,2092050596592.956055
0.000000,67,2123319269173.228516
0.000000,64,2052968972876.270752
0.000000,65,2074681014148.497559
0.000000,63,2158035817587.007812
0.000000,63,2204102029328.727539
0.000000,65,2150292606756.770020
0.000000,68,2149259250230.678955
0.000000,63,2133052830373.451416
0.000000,63,2142350728710.437988
0.000000,66,2047200283995.166992
0.000000,65,2177003991312.934082
0.000000,63,2138347277706.611572
0.000000,63,2109056746004.821045
0.000000,65,2129195173298.743164
0.000000,64,2187686103481.827637
0.000000,65,2106765762655.076904
0.000000,64,2013032459289.994873
0.000000,64,2117086802246.594971
0.000000,64,2021077678151.288086
0.000000,67,2101328436959.485107
0.000000,65,2188262523925.640625
0.000000,63,2132984932375.644775
0.000000,63,2159106103441.635254
0.000000,63,2110090097264.538086
0.000000,65,2176213399845.456299
0.000000,65,2093297529349.960449
0.000000,65,2119348612148.982178
0.000000,65,2132553627767.574951
0.000000,65,2202368872546.334473
0.000000,64,2113053519247.214355
0.000000,66,2117438797394.303467
0.000000,63,2067753648586.586670
0.000000,63,2123925818464.759277
0.000000,67,2125885364551.140625
0.000000,63,2060590655457.599609
0.000000,65,2090761207001.883789
0.000000,67,2168512832566.780273
0.000000,64,2093998127071.841309
0.000000,63,2130398175658.620850
0.000000,65,2082024025361.531494
0.000000,65,2111684402709.353760
0.000000,65,2170774264113.073975
0.000000,64,2116725640834.940918
0.000000,63,2158868859157.152588
0.000000,63,2171984646110.142090
0.000000,66,2138881581486.736572
0.000000,62,2023814502697.113037
0.000000,63,2138024040935.939697
0.000000,66,2170157332499.039795
0.000000,65,2081990320948.891113
0.000000,69,2132406254500.503906
0.000000,65,2216980335366.260742
0.000000,68,2010049170886.110107
0.000000,65,2112183401030.202148
0.000000,63,2171898209961.724121
0.000000,63,2058183036248.383301
0.000000,65,2092012663472.607910
0.000000,65,2103101772086.937988
0.000000,64,2148562326308.470947
0.000000,64,2112378402670.410645
0.000000,64,2105002852565.503418
0.000000,68,2092446290780.954590
0.000000,64,2011893398789.260986
0.000000,65,2197336008115.843262
0.000000,65,2079221583492.177246
0.000000,65,2137195230869.018799
0.000000,65,2044700168331.088379
0.000000,65,2151140876735.843018
0.000000,62,2116653994565.383057
0.000000,65,2159810320915.954590
0.000000,65,2133997188577.606201
0.000000,63,2154356792389.881104
0.000000,66,2129480991828.016357
0.000000,63,2069606265601.791016
0.000000,64,2231679058325.011230
0.000000,64,2043911310570.551270
0.000000,65,2050027621259.282715
0.000000,66,2083943466174.354248
0.000000,63,2071842551150.042236
0.000000,66,2162741827852.936523
0.000000,63,2096875971237.759033
0.000000,65,2078731455834.785400
0.000000,65,2050090458204.299561
0.000000,64,2127877054512.777832
0.000000,64,2113558624942.908447
0.000000,62,2055285543870.021484
0.000000,64,2040226763458.398438
0.000000,63,2111452386059.945312
0.000000,64,2076124165317.342773
0.000000,68,2061128626247.453613
0.000000,66,2082014392074.784180
0.000000,65,2070503660170.402832
0.000000,66,2162978435198.001465
0.000000,63,2135503877609.230469
0.000000,67,2043277400240.376465
0.000000,65,2120127453673.114258
0.000000,64,2078309703349.865479
0.000000,66,2121283001611.381348
0.000000,65,2142533499083.240723
0.000000,65,2142239597342.960205
