beta,time_mean,time_std,time_var,time_min,time_max,cost_mean,cost_std,cost_var,cost_min,cost_max,valid_samples
0.770000,103.016000,0.125475,0.015744,103.000000,104.000000,2112242946254.096436,51468747556.731544,2649031975058558943232.000000,1946752124135.808838,2267768618343.774414,1000
0.780000,103.015000,0.121552,0.014775,103.000000,104.000000,2114336138304.036621,51104063847.254128,2611625341704226209792.000000,1946842899511.984131,2266234328663.821777,1000
0.790000,103.017000,0.129271,0.016711,103.000000,104.000000,2113790724653.218750,51311154229.457611,2632834548359185825792.000000,1947000944938.410156,2266292866520.279785,1000
0.800000,103.016000,0.125475,0.015744,103.000000,104.000000,2114775646116.019043,51656316964.782845,2668375082366112104448.000000,1947272441061.107666,2266393158526.074219,1000
0.810000,103.015000,0.121552,0.014775,103.000000,104.000000,2112939615241.834717,52458501399.356705,2751894369066309648384.000000,1947733513255.310303,2267322302537.236328,1000
0.820000,103.014000,0.117490,0.013804,103.000000,104.000000,2114077885944.804932,52654894642.057259,2772537929766150340608.000000,1948504065847.015869,2267567943193.726562,1000
0.830000,103.012000,0.108885,0.011856,103.000000,104.000000,2114229036007.285400,51696287773.338493,2672506169543827128320.000000,1949779225310.200928,2268020754195.165527,1000
0.840000,103.011000,0.104302,0.010879,103.000000,104.000000,2116156480414.995117,51729325674.193810,2675923134706806685696.000000,1951872274039.256592,2268850463324.473633,1000
0.850000,103.010000,0.099499,0.009900,103.000000,104.000000,2118849093170.312744,51877213290.852531,2691245258824606547968.000000,1955283422738.352783,2271207269840.260254,1000
0.860000,103.011000,0.104302,0.010879,103.000000,104.000000,2122564197588.343994,52370401028.669357,2742658903903652806656.000000,1960807022517.660156,2276482961259.913086,1000
0.870000,103.009000,0.094440,0.008919,103.000000,104.000000,2128190593482.941406,52286628972.699944,2733891569328784932864.000000,1974634842065.028809,2285330396001.757324,1000
0.880000,103.012000,0.108885,0.011856,103.000000,104.000000,2138608176060.626221,52514420949.286522,2757764407638862856192.000000,1973819731270.135254,2300128978127.174316,1000
0.890000,103.040000,0.195959,0.038400,103.000000,104.000000,2159065486396.955566,51812693499.723984,2684555207696339959808.000000,1991406226515.454834,2323448026043.162598,1000
0.900000,103.118000,0.322608,0.104076,103.000000,104.000000,2191933720554.514893,51907096227.800743,2694346638802165956608.000000,2022375886523.311523,2342886397925.918945,1000
0.910000,103.372000,0.483338,0.233616,103.000000,104.000000,2249388114164.695801,52207271559.249855,2725599203661258948608.000000,2075764126712.226807,2397462213322.232422,1000
0.920000,103.851000,0.383144,0.146799,103.000000,105.000000,2344920065947.681152,53767467316.656204,2890940541647692759040.000000,2169421045807.631592,2503105815371.014648,1000
0.930000,104.235000,0.423999,0.179775,104.000000,105.000000,2510208426038.122559,58975620632.949059,3478123829041526472704.000000,2328036282673.564453,2707821082218.551270,1000
0.940000,104.971000,0.223962,0.050159,104.000000,106.000000,2800184843355.092285,66728460060.518463,4452687382048207798272.000000,2602409432836.909668,3038392551670.502930,1000
0.950000,105.979000,0.143384,0.020559,105.000000,106.000000,3193204249034.749023,90154062932.792648,8127755063289938182144.000000,2942720948875.931641,3512122650820.505371,1000
0.960000,106.989000,0.113486,0.012879,106.000000,108.000000,3679259930557.207520,98366436162.812363,9675955763372638601216.000000,3395644754756.750000,4035983895766.728027,1000
0.970000,109.028000,0.182253,0.033216,108.000000,110.000000,4666935638204.703125,110450337397.886734,12199277031307016667136.000000,4333721197486.261230,5080427110518.370117,1000
0.980000,113.894000,0.341707,0.116764,113.000000,115.000000,6808707765665.994141,129350672433.085632,16731596458891419844608.000000,6465680236421.044922,7276560026709.570312,1000
0.990000,125.519000,0.507582,0.257639,125.000000,127.000000,12029554170706.755859,141021260948.059631,19886996039380731166720.000000,11691605254289.062500,12521477433437.964844,1000
1.000000,150.000000,0.000000,0.000000,150.000000,150.000000,23072674014856.472656,223810242943.030090,50091024846218156048384.000000,22302829849957.160156,23696921331642.425781,1000
